vendor_id,vendor_name,on_time_delivery,quality_rating,defect_rate,response_time,cost_efficiency,compliance_score,customer_satisfaction,delivery_delay_days
40,Vendor_40,56,3.42,5.94,14,7.0,72,4.82,1
41,Vendor_41,70,3.64,9.36,10,1.85,66,4.67,7
42,Vendor_42,58,3.87,8.76,35,7.73,74,1.19,5
43,Vendor_43,88,3.87,2.78,25,8.31,66,2.36,5
44,Vendor_44,67,3.0,8.51,3,7.36,97,2.62,7
45,Vendor_45,53,4.21,0.0,47,9.71,93,1.96,0
46,Vendor_46,74,2.72,0.18,38,8.44,81,3.52,1
47,Vendor_47,63,2.85,6.03,17,9.13,83,3.56,8
48,Vendor_48,99,2.51,3.65,12,9.4,96,4.4,7
49,Vendor_49,58,2.79,3.86,24,8.21,60,3.96,6
50,Vendor_50,75,3.68,5.64,29,7.07,69,3.17,6
51,Vendor_51,51,4.02,1.92,43,1.05,75,3.61,4
52,Vendor_52,69,4.49,2.12,25,5.19,67,2.1,1
53,Vendor_53,77,2.77,4.85,36,6.14,84,3.37,5
54,Vendor_54,96,4.63,7.54,26,3.74,71,2.96,9
55,Vendor_55,56,4.36,6.19,38,3.86,84,1.53,2
56,Vendor_56,93,3.52,2.97,1,9.65,76,1.97,3
57,Vendor_57,57,4.83,4.3,20,9.03,85,2.17,9
58,Vendor_58,96,4.98,1.71,28,8.64,73,4.7,1
59,Vendor_59,84,3.01,0.75,16,4.65,95,1.92,1
60,Vendor_60,63,3.45,7.83,47,1.12,82,2.16,7
61,Vendor_61,66,4.82,2.65,17,1.72,65,2.48,7
62,Vendor_62,85,4.3,1.78,40,3.81,64,3.65,9
63,Vendor_63,99,2.62,6.92,28,1.14,84,1.47,5
64,Vendor_64,89,4.45,6.18,12,1.15,77,4.82,4
65,Vendor_65,53,4.57,6.33,27,9.25,72,4.46,7
66,Vendor_66,51,4.38,2.29,42,7.36,73,3.31,3
67,Vendor_67,55,4.5,2.33,47,3.78,87,3.7,3
68,Vendor_68,91,4.56,2.21,30,2.19,77,1.07,4
69,Vendor_69,53,2.97,1.74,41,5.6,87,2.36,0
70,Vendor_70,78,3.09,6.56,34,1.05,86,4.18,0
71,Vendor_71,67,4.08,8.48,37,9.45,91,1.31,1
72,Vendor_72,75,4.77,7.24,6,4.73,68,2.13,7
73,Vendor_73,93,3.29,7.92,7,4.62,99,3.34,6
74,Vendor_74,83,3.97,4.05,32,4.52,91,2.03,9
75,Vendor_75,59,4.21,6.54,32,1.62,79,4.74,8
76,Vendor_76,85,3.63,3.54,25,6.74,87,1.52,4
77,Vendor_77,63,4.28,5.26,33,7.6,92,4.19,1
78,Vendor_78,80,4.75,4.82,7,7.09,63,3.03,6
79,Vendor_79,97,4.06,1.77,12,2.25,93,4.0,7
80,Vendor_80,64,3.85,3.87,16,6.21,62,2.24,6
81,Vendor_81,57,3.6,9.64,16,6.13,85,3.06,6
82,Vendor_82,63,3.94,2.49,43,8.82,67,4.43,4
83,Vendor_83,72,3.39,1.34,36,4.41,65,2.87,1
84,Vendor_84,89,3.48,4.19,13,4.34,75,2.44,5
85,Vendor_85,70,3.83,7.9,7,6.57,83,3.14,3
86,Vendor_86,65,2.67,5.82,36,6.7,98,3.87,9
87,Vendor_87,94,3.07,6.81,47,5.22,89,2.77,1
88,Vendor_88,67,3.86,1.9,9,4.99,72,4.76,8
89,Vendor_89,96,3.58,6.19,32,5.45,64,2.18,6
90,Vendor_90,73,3.33,3.24,11,8.75,84,2.9,5
91,Vendor_91,75,4.33,8.34,8,5.15,79,4.03,4
92,Vendor_92,74,4.23,6.29,33,9.46,77,3.76,2
93,Vendor_93,94,2.92,1.99,23,5.54,77,4.45,9
94,Vendor_94,90,4.7,0.65,25,9.54,61,4.99,9
95,Vendor_95,78,3.74,0.43,8,8.5,69,2.71,3
96,Vendor_96,64,4.35,3.71,45,4.26,71,1.44,2
97,Vendor_97,94,3.93,2.66,22,8.77,72,1.12,7
98,Vendor_98,50,4.99,6.46,4,1.99,70,3.91,2
99,Vendor_99,74,4.38,4.99,40,9.33,78,4.5,6
100,Vendor_100,56,4.27,2.66,3,6.68,94,1.88,6
101,Vendor_101,58,4.45,1.49,29,1.49,98,1.63,6
102,Vendor_102,73,2.86,1.27,41,6.8,85,1.25,6
103,Vendor_103,50,3.01,8.65,29,9.77,73,4.29,1
104,Vendor_104,93,4.29,2.43,34,1.63,83,2.25,9
105,Vendor_105,57,3.73,6.52,34,5.99,60,2.61,2
106,Vendor_106,73,4.39,8.11,28,7.73,81,3.01,9
107,Vendor_107,60,2.76,6.14,13,8.29,82,4.36,8
108,Vendor_108,66,3.84,8.6,15,4.72,78,3.6,2
109,Vendor_109,57,3.45,3.92,23,2.84,77,3.46,1
110,Vendor_110,84,3.64,9.56,44,1.38,71,1.7,8
111,Vendor_111,84,4.01,1.33,26,6.22,87,3.05,9
112,Vendor_112,82,3.76,1.02,4,5.08,87,3.86,8
113,Vendor_113,54,3.85,6.59,26,9.54,92,4.89,3
114,Vendor_114,91,3.72,9.43,40,1.55,78,1.81,8
115,Vendor_115,88,3.52,8.09,9,7.17,87,1.04,2
116,Vendor_116,90,4.43,0.76,5,1.22,96,1.3,6
117,Vendor_117,77,2.53,2.79,32,2.54,85,2.5,6
118,Vendor_118,56,4.0,9.3,20,5.08,94,4.28,7
119,Vendor_119,58,3.91,2.53,11,5.09,93,1.03,9
120,Vendor_120,57,4.29,7.81,15,7.17,94,2.83,3
121,Vendor_121,61,4.0,8.25,32,9.19,99,2.32,2
122,Vendor_122,83,4.57,4.95,28,6.75,75,1.21,2
123,Vendor_123,82,4.9,3.86,22,9.58,97,2.8,4
124,Vendor_124,97,3.36,4.5,41,8.93,72,2.02,0
125,Vendor_125,72,3.07,2.27,17,6.26,82,2.41,9
126,Vendor_126,73,3.56,8.89,26,8.5,81,3.82,2
127,Vendor_127,86,3.22,4.51,44,6.78,75,3.09,5
128,Vendor_128,84,4.04,8.82,7,1.71,87,1.5,2
129,Vendor_129,93,4.78,1.06,42,7.67,94,4.85,4
130,Vendor_130,89,2.85,9.88,26,1.85,67,3.54,8
131,Vendor_131,71,2.75,4.43,25,6.35,81,4.06,1
132,Vendor_132,76,3.14,0.48,10,7.32,80,1.32,1
133,Vendor_133,84,4.32,0.38,45,1.6,85,1.19,5
134,Vendor_134,50,3.98,7.46,19,3.08,99,1.08,5
135,Vendor_135,84,2.76,6.59,11,9.24,80,1.76,7
136,Vendor_136,86,4.8,8.02,13,6.55,84,2.66,1
137,Vendor_137,96,4.48,1.05,8,3.22,60,4.74,8
138,Vendor_138,63,2.56,0.36,40,7.22,65,2.83,1
139,Vendor_139,52,4.13,5.09,4,6.37,82,2.16,0
140,Vendor_140,50,4.43,3.88,47,5.51,82,3.25,9
141,Vendor_141,54,3.44,4.62,31,9.79,82,1.45,1
142,Vendor_142,75,2.67,9.92,28,7.15,91,3.44,6
143,Vendor_143,63,2.69,9.71,11,4.38,89,3.27,7
144,Vendor_144,88,2.76,9.42,43,8.2,72,4.17,4
145,Vendor_145,76,4.6,7.84,1,8.96,77,4.95,5
146,Vendor_146,58,4.78,3.55,47,2.13,82,2.0,0
147,Vendor_147,64,2.81,4.12,38,2.8,74,3.04,5
148,Vendor_148,64,3.09,5.5,24,2.95,92,4.64,7
149,Vendor_149,75,2.91,8.31,47,7.22,80,4.14,2
150,Vendor_150,91,2.97,0.69,31,6.43,98,2.95,0
151,Vendor_151,62,4.59,4.24,41,6.57,82,4.78,3
152,Vendor_152,81,3.33,0.83,46,9.47,86,1.23,0
153,Vendor_153,88,3.28,5.15,26,7.98,77,4.72,7
154,Vendor_154,98,3.07,8.99,5,2.15,83,1.2,4
155,Vendor_155,81,4.02,7.82,20,4.13,99,3.19,0
156,Vendor_156,53,3.45,2.28,41,4.92,66,4.56,7
157,Vendor_157,79,4.36,9.76,11,4.56,79,2.05,8
158,Vendor_158,86,3.01,6.67,33,7.02,86,2.89,9
159,Vendor_159,72,4.47,0.1,38,9.03,65,2.3,1
160,Vendor_160,88,4.01,2.55,27,3.75,86,4.81,8
161,Vendor_161,94,2.79,2.61,34,5.97,68,4.29,7
162,Vendor_162,64,3.54,0.69,15,8.1,90,3.84,6
163,Vendor_163,92,4.66,9.6,32,4.75,80,3.35,2
164,Vendor_164,78,4.81,4.78,21,2.51,85,4.28,1
165,Vendor_165,85,3.66,8.96,46,5.27,99,2.57,6
166,Vendor_166,62,3.7,3.22,5,1.5,72,2.79,4
167,Vendor_167,81,4.8,1.25,6,9.48,82,3.92,5
168,Vendor_168,56,3.97,4.74,38,1.67,79,2.43,3
169,Vendor_169,71,2.58,1.14,22,4.95,96,1.26,1
170,Vendor_170,77,4.78,4.86,18,5.77,87,1.3,8
171,Vendor_171,51,3.12,9.2,14,9.87,76,1.46,2
172,Vendor_172,91,3.94,5.21,10,2.49,87,4.48,6
173,Vendor_173,94,2.91,6.16,46,2.03,61,2.89,7
174,Vendor_174,55,2.58,1.57,13,1.08,84,3.85,1
175,Vendor_175,77,3.28,0.44,31,2.4,65,2.57,5
176,Vendor_176,77,4.45,1.11,30,2.87,70,2.03,7
177,Vendor_177,93,3.19,5.99,3,6.68,97,2.39,6
178,Vendor_178,93,3.05,0.95,30,2.98,65,4.18,2
179,Vendor_179,69,3.03,3.76,6,1.18,70,3.5,0
180,Vendor_180,79,3.79,5.5,29,8.44,73,4.75,5
181,Vendor_181,60,4.94,3.89,8,4.29,61,3.72,7
182,Vendor_182,77,3.65,1.64,44,4.18,99,3.28,5
183,Vendor_183,74,3.89,2.74,45,3.72,62,3.44,4
184,Vendor_184,88,4.65,9.28,43,9.78,94,4.77,7
185,Vendor_185,82,3.84,6.76,44,2.53,92,4.15,1
186,Vendor_186,50,2.96,4.96,33,9.08,83,1.1,0
187,Vendor_187,76,3.25,0.13,17,7.99,78,3.14,0
188,Vendor_188,62,3.27,9.92,11,1.69,77,3.75,3
189,Vendor_189,90,3.49,6.71,13,9.88,83,3.99,5
190,Vendor_190,52,3.57,3.17,11,3.44,94,1.85,8
191,Vendor_191,88,4.5,8.79,31,1.89,60,4.47,0
192,Vendor_192,55,3.37,2.58,28,8.46,95,4.82,0
193,Vendor_193,57,3.67,5.44,44,7.36,84,1.95,4
194,Vendor_194,76,4.06,6.36,6,6.55,93,4.53,9
195,Vendor_195,58,3.44,2.21,41,2.4,84,1.39,4
196,Vendor_196,86,4.59,9.78,16,5.31,75,1.22,4
197,Vendor_197,82,3.97,7.48,4,8.03,93,1.52,9
198,Vendor_198,91,3.24,5.58,35,3.73,88,1.23,5
199,Vendor_199,93,4.29,1.81,26,3.81,78,4.38,7
200,Vendor_200,73,3.82,0.54,12,1.03,82,1.24,2
201,Vendor_201,64,3.84,3.2,11,2.57,78,2.09,8
202,Vendor_202,81,3.7,7.53,37,8.88,84,1.42,0
203,Vendor_203,81,3.74,2.69,25,4.98,75,2.18,3
204,Vendor_204,73,4.41,5.4,18,9.86,68,1.36,8
205,Vendor_205,90,2.76,7.28,19,4.56,60,3.67,7
206,Vendor_206,98,3.34,1.08,23,7.44,78,1.53,9
207,Vendor_207,98,2.69,6.85,38,3.54,92,4.41,8
208,Vendor_208,61,4.38,0.92,18,4.27,93,4.27,0
209,Vendor_209,88,3.18,9.65,26,2.72,75,1.05,8
210,Vendor_210,51,4.74,4.88,6,4.12,99,4.58,2
211,Vendor_211,52,3.82,1.51,4,5.93,77,1.12,9
212,Vendor_212,98,4.5,3.42,44,9.93,93,1.96,8
213,Vendor_213,86,4.95,4.13,29,6.98,84,1.13,0
214,Vendor_214,98,4.6,7.58,34,2.79,65,2.34,0
215,Vendor_215,66,4.67,7.43,17,1.4,80,3.06,8
216,Vendor_216,98,3.52,6.12,43,2.14,65,4.19,5
217,Vendor_217,51,3.88,1.06,43,6.06,91,2.35,3
218,Vendor_218,51,3.13,1.52,16,7.89,98,3.82,6
219,Vendor_219,77,2.99,0.94,2,9.46,90,1.75,4
220,Vendor_220,72,3.76,5.77,34,1.14,69,4.0,9
221,Vendor_221,86,3.99,8.77,8,5.7,89,1.94,6
222,Vendor_222,81,3.35,4.34,13,5.24,77,1.57,7
223,Vendor_223,82,3.92,1.61,42,6.9,83,1.74,7
224,Vendor_224,50,4.72,5.58,8,6.04,68,1.73,0
225,Vendor_225,68,3.89,8.12,30,7.18,90,3.05,7
226,Vendor_226,51,4.3,7.42,32,6.92,74,4.38,5
227,Vendor_227,93,4.51,8.81,36,2.05,63,1.32,3
228,Vendor_228,75,4.97,2.78,47,8.2,99,3.83,7
229,Vendor_229,81,4.01,1.94,30,2.11,68,3.62,2
230,Vendor_230,55,4.52,8.8,1,7.29,68,4.49,3
231,Vendor_231,81,4.91,6.58,43,4.75,85,1.98,5
232,Vendor_232,53,4.86,3.11,39,5.62,63,2.8,6
233,Vendor_233,60,2.85,7.42,17,9.13,76,4.7,3
234,Vendor_234,66,3.52,8.15,20,9.01,75,3.64,3
235,Vendor_235,87,3.31,6.15,24,8.36,74,2.56,6
236,Vendor_236,73,2.72,6.88,22,5.59,94,1.53,5
237,Vendor_237,54,4.08,3.75,29,7.63,64,2.05,7
238,Vendor_238,83,4.34,5.39,22,5.62,64,3.32,0
239,Vendor_239,55,4.62,5.24,44,8.83,79,3.87,9
240,Vendor_240,71,2.81,8.48,9,4.62,74,1.5,6
241,Vendor_241,60,4.69,8.4,37,9.73,77,3.4,6
242,Vendor_242,97,4.11,8.33,10,9.39,61,3.2,6
243,Vendor_243,65,4.26,0.11,36,7.67,88,3.06,6
244,Vendor_244,82,4.78,7.5,37,3.51,72,3.76,9
245,Vendor_245,58,4.06,7.59,28,2.18,63,4.35,9
246,Vendor_246,55,3.34,6.78,28,8.69,69,2.29,7
247,Vendor_247,65,4.56,7.56,42,2.49,90,4.56,8
248,Vendor_248,78,3.41,8.42,43,8.69,67,1.64,8
249,Vendor_249,52,2.59,4.7,21,5.42,62,1.69,1
250,Vendor_250,69,4.58,5.02,24,4.66,68,2.07,6
251,Vendor_251,85,3.36,1.25,42,9.13,89,1.48,6
252,Vendor_252,68,4.43,3.85,40,6.43,70,1.92,3
253,Vendor_253,75,3.41,6.43,2,6.19,94,1.43,8
254,Vendor_254,52,4.65,7.8,8,6.03,96,4.29,7
255,Vendor_255,68,3.05,2.17,27,4.34,72,1.56,0
256,Vendor_256,69,4.94,1.38,22,8.07,95,3.99,1
257,Vendor_257,81,4.45,6.63,37,3.28,72,1.19,1
258,Vendor_258,56,2.79,0.02,27,9.45,71,4.79,7
259,Vendor_259,90,3.91,1.78,29,9.05,96,3.84,0
260,Vendor_260,82,4.96,0.29,3,4.04,69,1.03,3
261,Vendor_261,89,3.68,1.67,44,7.57,68,4.06,9
262,Vendor_262,88,2.96,1.81,13,6.16,66,3.06,4
263,Vendor_263,67,3.71,3.88,45,4.04,61,4.12,8
264,Vendor_264,89,3.78,4.02,10,9.9,82,3.09,6
265,Vendor_265,50,4.35,8.74,36,1.23,98,3.56,7
266,Vendor_266,60,4.25,5.1,9,3.27,99,4.15,8
267,Vendor_267,77,3.51,7.23,27,5.68,98,2.62,6
268,Vendor_268,74,3.05,1.04,34,5.7,80,1.01,4
269,Vendor_269,99,4.11,2.25,1,6.3,82,4.4,4
270,Vendor_270,72,3.55,7.03,32,7.77,88,2.52,9
271,Vendor_271,80,2.83,0.53,25,6.61,73,2.98,5
272,Vendor_272,79,4.75,4.87,29,6.4,85,1.03,4
273,Vendor_273,91,4.23,5.99,7,1.48,64,2.97,8
274,Vendor_274,84,4.21,6.02,3,4.39,90,4.95,2
275,Vendor_275,56,4.56,0.23,20,3.09,84,2.11,2
276,Vendor_276,65,3.82,3.22,20,3.39,90,2.58,6
277,Vendor_277,75,4.54,6.36,30,5.99,79,3.75,6
278,Vendor_278,97,3.75,1.49,35,2.8,76,4.26,5
279,Vendor_279,98,2.67,6.95,35,3.65,61,2.67,2
280,Vendor_280,51,3.51,7.46,39,3.13,84,2.24,6
281,Vendor_281,50,3.74,9.82,27,9.54,72,4.75,4
282,Vendor_282,97,4.3,2.1,26,9.5,98,3.71,6
283,Vendor_283,61,2.77,8.25,14,6.49,87,1.48,1
284,Vendor_284,54,2.85,5.2,17,9.32,65,1.28,5
285,Vendor_285,86,3.16,3.73,18,8.07,62,2.93,7
286,Vendor_286,81,3.17,1.22,45,6.31,94,1.88,0
287,Vendor_287,58,4.33,7.36,29,1.06,77,2.02,3
288,Vendor_288,90,3.13,2.36,20,7.95,70,4.51,0
289,Vendor_289,84,4.08,3.71,27,7.32,79,1.36,0
290,Vendor_290,68,3.74,0.63,18,6.54,64,3.86,9
291,Vendor_291,97,3.93,8.01,4,7.84,78,2.08,7
292,Vendor_292,65,4.6,7.67,1,5.62,81,4.04,6
293,Vendor_293,52,3.51,7.34,1,7.34,78,3.89,9
294,Vendor_294,69,4.43,2.99,26,9.42,75,1.03,0
295,Vendor_295,73,3.56,1.73,45,4.38,83,3.04,1
296,Vendor_296,82,3.38,6.38,20,7.37,63,1.56,3
297,Vendor_297,73,4.9,4.96,23,5.28,74,4.46,0
298,Vendor_298,60,2.96,1.78,10,7.07,84,4.49,2
299,Vendor_299,98,2.73,6.86,11,7.87,94,2.67,7
300,Vendor_300,57,4.43,9.91,41,1.41,73,2.78,7
301,Vendor_301,85,2.67,7.47,41,6.82,78,2.21,7
302,Vendor_302,87,4.59,7.4,5,3.04,97,3.87,5
303,Vendor_303,89,3.59,9.5,1,7.03,95,2.43,5
304,Vendor_304,69,4.79,2.03,17,5.21,66,2.07,4
305,Vendor_305,84,4.3,5.66,22,7.96,89,2.73,8
306,Vendor_306,97,4.03,9.8,34,2.11,78,1.37,3
307,Vendor_307,74,4.87,1.65,45,6.64,84,3.99,9
308,Vendor_308,84,3.49,7.0,41,3.51,75,1.05,6
309,Vendor_309,74,4.89,5.86,29,8.68,99,3.58,0
310,Vendor_310,78,2.84,5.86,4,9.36,67,1.73,8
311,Vendor_311,67,3.71,6.98,5,9.97,77,1.93,6
312,Vendor_312,95,3.17,9.3,11,8.16,87,3.54,9
313,Vendor_313,67,3.85,7.83,21,7.78,75,4.97,8
314,Vendor_314,51,2.91,0.56,35,2.94,78,4.11,6
315,Vendor_315,84,4.6,8.53,12,4.02,76,1.9,1
316,Vendor_316,65,4.62,2.26,26,5.19,72,1.7,5
317,Vendor_317,90,4.89,3.77,19,7.96,66,4.46,9
318,Vendor_318,85,2.89,4.62,45,9.23,86,2.78,3
319,Vendor_319,82,4.06,4.81,7,2.7,69,1.55,2
320,Vendor_320,53,3.69,4.35,47,9.3,93,4.45,1
321,Vendor_321,82,3.36,9.37,7,7.26,95,4.26,5
322,Vendor_322,63,3.38,7.06,26,6.5,84,4.94,7
323,Vendor_323,70,3.53,6.31,40,2.8,65,4.64,5
324,Vendor_324,97,4.26,0.5,5,1.5,83,4.41,8
325,Vendor_325,69,4.0,9.04,21,6.12,77,1.21,4
326,Vendor_326,57,3.65,9.09,14,6.86,82,1.42,1
327,Vendor_327,56,2.69,7.8,4,2.9,65,3.28,7
328,Vendor_328,52,2.69,0.07,23,6.01,88,3.13,8
329,Vendor_329,66,2.51,0.57,42,8.71,84,2.83,9
330,Vendor_330,82,4.92,2.25,20,8.52,76,2.59,3
331,Vendor_331,97,2.51,1.31,15,9.35,83,2.72,5
332,Vendor_332,61,2.76,3.99,45,4.29,70,3.28,9
333,Vendor_333,71,3.29,9.23,29,3.86,85,1.01,7
334,Vendor_334,71,4.52,4.72,8,7.74,93,2.04,8
335,Vendor_335,95,4.91,0.13,41,4.88,87,3.07,4
336,Vendor_336,79,4.48,2.83,19,1.79,62,3.89,5
337,Vendor_337,87,4.23,0.45,39,3.55,70,1.7,3
338,Vendor_338,87,3.8,0.36,46,4.77,97,3.19,4
339,Vendor_339,94,2.72,2.76,28,3.63,73,3.86,6
340,Vendor_340,57,4.9,2.76,46,3.99,85,2.78,8
341,Vendor_341,76,4.4,7.87,27,3.64,80,1.11,9
342,Vendor_342,76,4.1,9.75,4,1.37,98,2.8,5
343,Vendor_343,83,4.4,3.71,15,6.73,89,2.19,5
344,Vendor_344,70,4.31,4.29,35,6.38,67,4.72,7
345,Vendor_345,79,4.09,8.45,37,6.88,79,1.5,3
346,Vendor_346,82,4.95,2.68,1,2.73,91,3.61,2
347,Vendor_347,77,4.76,1.56,3,3.66,81,1.21,6
348,Vendor_348,96,4.12,8.53,47,6.58,66,2.78,4
349,Vendor_349,82,4.23,0.47,24,6.4,68,3.22,1
350,Vendor_350,54,2.63,6.2,27,5.56,60,2.19,1
351,Vendor_351,97,4.17,5.62,40,4.15,88,2.82,5
352,Vendor_352,68,2.61,3.46,36,9.22,67,1.65,7
353,Vendor_353,53,3.97,3.15,34,4.06,63,2.22,0
354,Vendor_354,84,5.0,7.72,29,5.1,94,3.48,5
355,Vendor_355,98,3.89,0.86,24,7.1,62,2.21,1
356,Vendor_356,66,3.68,2.37,24,5.89,99,4.6,1
357,Vendor_357,93,3.28,7.32,42,4.12,66,3.51,6
358,Vendor_358,77,2.8,5.48,4,4.92,86,2.75,9
359,Vendor_359,79,4.33,1.28,3,8.15,60,1.16,0
360,Vendor_360,78,2.98,8.82,34,3.5,86,3.0,5
361,Vendor_361,95,2.79,3.93,23,2.28,75,4.06,6
362,Vendor_362,55,3.55,8.28,23,3.82,97,2.06,7
363,Vendor_363,84,4.49,7.88,45,8.65,66,4.23,6
364,Vendor_364,90,4.36,6.24,5,1.8,82,2.01,5
365,Vendor_365,86,2.64,4.94,31,9.93,70,4.29,8
366,Vendor_366,73,3.64,9.8,41,5.87,92,1.34,2
367,Vendor_367,78,3.81,1.45,6,9.86,95,4.46,5
368,Vendor_368,98,4.11,7.25,37,9.45,96,3.0,3
369,Vendor_369,95,4.13,1.91,10,5.08,76,2.19,1
370,Vendor_370,80,3.41,3.38,40,2.79,94,2.06,0
371,Vendor_371,84,3.9,3.09,7,2.48,64,2.73,0
372,Vendor_372,82,3.7,9.47,39,3.16,91,5.0,9
373,Vendor_373,70,4.71,9.67,38,7.39,62,1.88,2
374,Vendor_374,81,3.83,1.83,21,3.46,94,1.41,3
375,Vendor_375,72,3.6,0.22,20,4.07,73,3.34,1
376,Vendor_376,82,3.51,7.2,3,5.04,90,2.95,0
377,Vendor_377,52,3.93,4.18,22,9.22,90,3.1,3
378,Vendor_378,67,4.51,0.89,47,2.7,76,3.67,6
379,Vendor_379,74,3.85,6.84,4,1.05,83,2.07,9
380,Vendor_380,91,4.15,5.45,28,1.54,82,4.64,5
381,Vendor_381,80,4.34,9.81,12,9.14,77,2.74,5
382,Vendor_382,52,3.8,2.27,38,6.83,73,1.52,8
383,Vendor_383,89,3.57,4.04,36,3.46,74,3.97,1
384,Vendor_384,95,4.69,5.43,47,2.59,74,3.57,3
385,Vendor_385,73,3.54,7.92,41,3.65,65,2.26,4
386,Vendor_386,99,3.65,5.49,5,2.03,86,3.49,0
387,Vendor_387,81,4.98,6.13,13,9.47,74,1.88,7
388,Vendor_388,96,2.5,2.26,23,8.06,95,2.78,7
389,Vendor_389,71,2.96,8.47,30,5.16,67,4.6,5
390,Vendor_390,72,3.46,4.29,37,8.78,74,1.53,4
391,Vendor_391,51,4.83,1.41,25,3.25,62,2.55,7
392,Vendor_392,76,2.68,6.64,27,7.45,72,4.28,2
393,Vendor_393,91,2.52,2.16,14,8.71,93,4.88,2
394,Vendor_394,51,2.63,0.98,47,4.21,83,2.82,1
395,Vendor_395,75,2.72,8.62,36,7.82,99,3.03,4
396,Vendor_396,66,2.59,4.6,39,3.66,91,3.29,2
397,Vendor_397,89,3.7,7.49,16,3.69,91,4.73,2
398,Vendor_398,82,3.95,2.91,22,1.96,89,4.43,5
399,Vendor_399,58,3.18,7.87,21,4.96,72,1.68,7
400,Vendor_400,92,3.5,1.12,21,7.57,60,2.75,1
401,Vendor_401,97,2.73,3.56,8,9.46,93,2.86,3
402,Vendor_402,88,3.34,9.78,16,6.43,74,4.16,6
403,Vendor_403,78,3.81,7.94,31,8.77,73,3.41,0
404,Vendor_404,91,4.33,4.97,42,8.4,88,3.62,0
405,Vendor_405,75,2.51,3.4,10,2.56,93,4.99,9
406,Vendor_406,84,3.67,8.72,32,5.37,77,1.3,6
407,Vendor_407,99,3.24,5.45,34,2.05,66,1.89,6
408,Vendor_408,74,4.63,7.58,9,7.14,88,2.63,0
409,Vendor_409,73,4.29,7.54,17,9.55,90,2.39,0
410,Vendor_410,62,3.97,0.18,11,2.23,84,1.09,3
411,Vendor_411,56,3.19,1.26,32,7.6,97,1.37,4
412,Vendor_412,85,4.78,6.6,10,6.69,73,3.72,4
413,Vendor_413,94,2.61,1.62,22,6.25,67,4.52,3
414,Vendor_414,69,2.77,2.55,17,4.51,86,3.06,7
415,Vendor_415,50,3.48,9.47,4,4.2,61,3.16,6
416,Vendor_416,57,2.81,5.6,47,1.41,76,2.02,8
417,Vendor_417,95,4.89,7.51,25,2.96,96,4.07,6
418,Vendor_418,65,4.49,5.58,21,1.14,73,4.01,9
419,Vendor_419,63,3.15,5.53,37,6.23,84,3.35,0
420,Vendor_420,61,3.97,0.94,38,1.95,89,1.85,6
